assignment_id,project_id,employee_id,assigned_role,contribution_score,role,experience_years,skills,availability,category,start_date,end_date,complexity,required_skills,skill_match,xgb_clase,xgb_senior_match
A0001,P0001,2418,Production Manager,73.6,Production Manager,2,"['Java', 'Redes', 'Aprendizaje Rápido']",No disponible,Ventas,2022-04-17,2022-09-20,1,['CRM'],0.0,0,0
A0002,P0001,1021,Software Engineer,63.8,Software Engineer,4,"['Power BI', 'Java', 'Reclutamiento']",No disponible,Ventas,2022-04-17,2022-09-20,1,['CRM'],0.0,0,0
A0003,P0002,2228,IT Support,44.9,IT Support,6,"['Seguridad Informática', 'Python', 'Negociación']",No disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.25,0,0
A0004,P0002,1617,Production Technician I,44.2,Production Technician I,2,"['Calibración', 'Mantenimiento', 'Liderazgo']",Disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0005,P0002,2244,IT Manager - Support,49.1,Otro,2,"['Mantenimiento', 'Rutas de Distribución', 'Reclutamiento']",Disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0006,P0002,3678,Production Technician I,56.1,Production Technician I,3,"['Control de Calidad', 'Mantenimiento', 'Resolución de Conflictos']",Disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0007,P0002,2932,Production Technician I,55.4,Production Technician I,3,"['Calibración', 'Mantenimiento', 'Trabajo en Equipo']",No disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0008,P0002,1544,Production Technician I,41.4,Production Technician I,4,"['Calibración', 'Mantenimiento', 'Capacitación']",No disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0009,P0002,1838,Production Technician I,51.9,Production Technician I,5,"['Calibración', 'Mantenimiento', 'Coaching']",Disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0010,P0002,2540,Software Engineering Manager,50.5,Otro,2,"['Logística', 'HTML', 'Presentaciones']",No disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.25,0,0
A0011,P0002,3835,IT Support,55.4,IT Support,6,"['SQL', 'Seguridad Informática', 'Adaptabilidad']",No disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0012,P0002,3006,Production Technician II,52.6,Production Technician II,2,"['Sistemas Operativos', 'Planificación', 'Capacitación']",Disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0013,P0002,2681,Area Sales Manager,52.6,Area Sales Manager,4,"['Seguridad Informática', 'Análisis de Datos', 'Análisis de Mercado']",No disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0014,P0002,3479,Area Sales Manager,51.9,Area Sales Manager,2,"['Control de Calidad', 'Calibración', 'Comunicación']",No disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.25,0,0
A0015,P0002,1071,Software Engineer,53.3,Software Engineer,5,"['Calibración', 'Logística', 'Adaptabilidad']",No disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0016,P0002,2190,Production Technician II,50.5,Production Technician II,1,"['Análisis de Datos', 'HTML', 'Trabajo en Equipo']",No disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0017,P0002,3203,Production Technician I,44.9,Production Technician I,3,"['Calibración', 'Mantenimiento', 'Liderazgo']",No disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0018,P0002,1327,Sr. Network Engineer,58.9,Sr. Network Engineer,5,"['Análisis de Datos', 'Gestión de Inventario', 'Liderazgo']",Disponible,Ventas,2024-03-13,2024-06-06,4,"['Presentaciones', 'Negociación', 'Comunicación', 'CRM']",0.0,0,0
A0019,P0003,1688,Area Sales Manager,61.1,Area Sales Manager,4,"['Control de Calidad', 'Python', 'Comunicación']",No disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.25,0,0
A0020,P0003,3983,Database Administrator,72.2,Otro,2,"['Rutas de Distribución', 'Redes', 'Trabajo en Equipo']",Disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.0,0,0
A0021,P0003,1589,Production Technician I,68.7,Production Technician I,4,"['Mantenimiento', 'Calibración', 'Comunicación']",No disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.0,0,0
A0022,P0003,3920,IT Support,76.0,IT Support,3,"['Seguridad Informática', 'Python', 'Comunicación']",No disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.25,0,0
A0023,P0003,2104,Production Technician I,68.0,Production Technician I,4,"['Mantenimiento', 'Calibración', 'Resolución de Conflictos']",Disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.0,0,0
A0024,P0003,2159,Production Technician I,63.8,Production Technician I,3,"['Control de Calidad', 'Calibración', 'Trabajo en Equipo']",No disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.0,0,0
A0025,P0003,3230,Production Technician I,68.7,Production Technician I,3,"['Calibración', 'Control de Calidad', 'Trabajo en Equipo']",No disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.0,0,0
A0026,P0003,2742,Area Sales Manager,72.9,Area Sales Manager,2,"['Python', 'Rutas de Distribución', 'Comunicación']",No disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.25,0,0
A0027,P0003,2898,Production Technician I,64.5,Production Technician I,5,"['Mantenimiento', 'Control de Calidad', 'Comunicación']",Disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.0,0,0
A0028,P0003,3412,Production Technician II,64.8,Production Technician II,5,"['Java', 'SQL', 'Aprendizaje Rápido']",Disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.25,0,0
A0029,P0003,2844,Production Technician II,64.8,Production Technician II,4,"['Java', 'HTML', 'Presentaciones']",No disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.25,0,0
A0030,P0003,1196,Production Technician I,70.1,Production Technician I,5,"['Calibración', 'Mantenimiento', 'Análisis de Mercado']",Disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.0,0,0
A0031,P0003,1022,Software Engineer,63.8,Software Engineer,2,"['Planificación', 'Gestión de Inventario', 'Coaching']",Disponible,Tecnología,2022-10-03,2022-12-13,3,"['SQL', 'JavaScript', 'Python', 'HTML']",0.0,0,0
A0032,P0004,2498,BI Developer,64.8,BI Developer,5,"['Mantenimiento', 'Python', 'Capacitación']",No disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.3333333333333333,0,0
A0033,P0004,2883,Production Technician II,72.9,Production Technician II,5,"['Logística', 'Forecasting', 'Aprendizaje Rápido']",Disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.0,0,0
A0034,P0004,1645,Area Sales Manager,75.2,Area Sales Manager,3,"['Gestión de Inventario', 'SQL', 'Negociación']",No disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.3333333333333333,0,0
A0035,P0004,3834,Network Engineer,66.6,Network Engineer,5,"['Control de Calidad', 'Logística', 'Aprendizaje Rápido']",No disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.0,0,0
A0036,P0004,2891,Production Technician I,73.6,Production Technician I,3,"['Calibración', 'Mantenimiento', 'Resolución de Conflictos']",No disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.0,0,0
A0037,P0004,3575,Production Technician I,63.8,Production Technician I,3,"['Control de Calidad', 'Calibración', 'Liderazgo']",No disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.0,0,0
A0038,P0004,2706,Area Sales Manager,64.1,Area Sales Manager,6,"['Python', 'Gestión de Inventario', 'Negociación']",No disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.3333333333333333,0,0
A0039,P0004,2718,Area Sales Manager,70.8,Area Sales Manager,2,"['Contabilidad', 'SQL', 'Análisis de Mercado']",Disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.3333333333333333,0,0
A0040,P0004,3080,Production Technician I,65.2,Production Technician I,4,"['Calibración', 'Control de Calidad', 'Aprendizaje Rápido']",No disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.0,0,0
A0041,P0004,1398,Production Technician I,63.1,Production Technician I,3,"['Mantenimiento', 'Calibración', 'Comunicación']",No disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.0,0,0
A0042,P0004,3764,Production Technician II,61.0,Production Technician II,2,"['Sistemas Operativos', 'Rutas de Distribución', 'Comunicación']",Disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.0,0,0
A0043,P0004,3747,Production Technician I,69.4,Production Technician I,3,"['Mantenimiento', 'Calibración', 'Liderazgo']",No disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.0,0,0
A0044,P0004,1287,Production Technician I,74.3,Production Technician I,4,"['Mantenimiento', 'Calibración', 'Coaching']",No disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.0,0,0
A0045,P0004,3394,Production Technician I,65.2,Production Technician I,3,"['Control de Calidad', 'Calibración', 'Reclutamiento']",Disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.0,0,0
A0046,P0004,3467,Area Sales Manager,73.6,Area Sales Manager,4,"['HTML', 'ERP', 'Análisis de Mercado']",Disponible,Tecnología,2022-03-07,2022-07-22,3,"['HTML', 'SQL', 'Python']",0.3333333333333333,0,0
A0047,P0005,2734,Area Sales Manager,79.9,Area Sales Manager,4,"['Forecasting', 'Rutas de Distribución', 'Negociación']",Disponible,Tecnología,2022-05-11,2022-10-11,1,"['Java', 'Python', 'HTML', 'JavaScript']",0.0,0,0
A0048,P0005,2109,Production Technician I,79.9,Production Technician I,3,"['Control de Calidad', 'Calibración', 'Capacitación']",Disponible,Tecnología,2022-05-11,2022-10-11,1,"['Java', 'Python', 'HTML', 'JavaScript']",0.0,0,0
A0049,P0006,2639,Area Sales Manager,77.2,Area Sales Manager,4,"['Control de Calidad', 'Análisis de Datos', 'Análisis de Mercado']",Disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.25,0,0
A0050,P0006,1726,BI Developer,81.8,BI Developer,5,"['Contabilidad', 'Redes', 'Análisis de Mercado']",Disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.25,1,0
A0051,P0006,1196,Production Technician I,80.6,Production Technician I,5,"['Calibración', 'Mantenimiento', 'Análisis de Mercado']",Disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.0,1,0
A0052,P0006,3212,Production Technician II,77.8,Production Technician II,4,"['Calibración', 'Mantenimiento', 'Presentaciones']",No disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.0,0,0
A0053,P0006,2697,Area Sales Manager,80.6,Area Sales Manager,4,"['Logística', 'Calibración', 'Negociación']",Disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.0,1,0
A0054,P0006,3022,Production Technician I,76.4,Production Technician I,6,"['Control de Calidad', 'Mantenimiento', 'Comunicación']",No disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.0,0,0
A0055,P0006,2238,IT Manager - Infra,82.0,Otro,3,"['Rutas de Distribución', 'Seguridad Informática', 'Adaptabilidad']",No disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.0,1,0
A0056,P0006,2292,Production Manager,81.3,Production Manager,4,"['Sistemas Operativos', 'ERP', 'Resolución de Conflictos']",Disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.0,1,0
A0057,P0006,2158,Production Technician I,81.3,Production Technician I,1,"['Mantenimiento', 'Control de Calidad', 'Coaching']",Disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.0,1,0
A0058,P0006,1822,Production Technician I,80.6,Production Technician I,2,"['Mantenimiento', 'Control de Calidad', 'Presentaciones']",Disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.0,1,0
A0059,P0006,1849,Production Technician I,82.0,Production Technician I,2,"['Mantenimiento', 'Control de Calidad', 'Trabajo en Equipo']",Disponible,Finanzas,2023-03-28,2023-05-25,3,"['Excel', 'Contabilidad', 'Análisis de Datos', 'Forecasting']",0.0,1,0
A0060,P0007,2496,Director of Sales,82.0,Otro,4,"['Redes', 'ERP', 'Aprendizaje Rápido']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,1,0
A0061,P0007,3094,Production Technician II,75.7,Production Technician II,3,"['Logística', 'Excel', 'Aprendizaje Rápido']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0062,P0007,1643,Area Sales Manager,76.4,Area Sales Manager,5,"['Redes', 'Power BI', 'Negociación']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0063,P0007,3834,Network Engineer,79.2,Network Engineer,5,"['Control de Calidad', 'Logística', 'Aprendizaje Rápido']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0064,P0007,2891,Production Technician I,82.0,Production Technician I,3,"['Calibración', 'Mantenimiento', 'Resolución de Conflictos']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,1,0
A0065,P0007,3575,Production Technician I,78.5,Production Technician I,3,"['Control de Calidad', 'Calibración', 'Liderazgo']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0066,P0007,2705,Area Sales Manager,81.3,Area Sales Manager,6,"['Power BI', 'JavaScript', 'Comunicación']",Disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,1,0
A0067,P0007,2717,Area Sales Manager,78.5,Area Sales Manager,4,"['Sistemas Operativos', 'ERP', 'Análisis de Mercado']",Disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0068,P0007,3080,Production Technician I,76.4,Production Technician I,4,"['Calibración', 'Control de Calidad', 'Aprendizaje Rápido']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0069,P0007,1398,Production Technician I,82.0,Production Technician I,3,"['Mantenimiento', 'Calibración', 'Comunicación']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,1,0
A0070,P0007,3764,Production Technician II,77.8,Production Technician II,2,"['Sistemas Operativos', 'Rutas de Distribución', 'Comunicación']",Disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0071,P0007,3747,Production Technician I,81.3,Production Technician I,3,"['Mantenimiento', 'Calibración', 'Liderazgo']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,1,0
A0072,P0007,1287,Production Technician I,75.7,Production Technician I,4,"['Mantenimiento', 'Calibración', 'Coaching']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0073,P0007,3394,Production Technician I,75.7,Production Technician I,3,"['Control de Calidad', 'Calibración', 'Reclutamiento']",Disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0074,P0007,3467,Area Sales Manager,79.9,Area Sales Manager,4,"['HTML', 'ERP', 'Análisis de Mercado']",Disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0075,P0007,1946,Production Technician II,79.0,Production Technician II,5,"['Java', 'Forecasting', 'Responsabilidad']",Disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.5,0,0
A0076,P0007,1910,Production Technician I,82.0,Production Technician I,5,"['Calibración', 'Mantenimiento', 'Aprendizaje Rápido']",Disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,1,0
A0077,P0007,1271,Production Technician I,76.4,Production Technician I,4,"['Calibración', 'Control de Calidad', 'Capacitación']",Disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0078,P0007,3233,Production Technician I,81.3,Production Technician I,4,"['Mantenimiento', 'Control de Calidad', 'Aprendizaje Rápido']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,1,0
A0079,P0007,3603,Production Technician II,81.3,Production Technician II,6,"['Forecasting', 'Java', 'Coaching']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.5,1,0
A0080,P0007,3029,Production Technician II,76.4,Production Technician II,3,"['Power BI', 'Mantenimiento', 'Análisis de Mercado']",No disponible,Tecnología,2022-03-08,2022-04-19,5,"['Python', 'Java']",0.0,0,0
A0081,P0008,2228,IT Support,58.9,IT Support,6,"['Seguridad Informática', 'Python', 'Negociación']",No disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.0,0,0
A0082,P0008,1617,Production Technician I,56.1,Production Technician I,2,"['Calibración', 'Mantenimiento', 'Liderazgo']",Disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.2,0,0
A0083,P0008,2244,IT Manager - Support,46.3,Otro,2,"['Mantenimiento', 'Rutas de Distribución', 'Reclutamiento']",Disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.2,0,0
A0084,P0008,3678,Production Technician I,43.5,Production Technician I,3,"['Control de Calidad', 'Mantenimiento', 'Resolución de Conflictos']",Disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.0,0,0
A0085,P0008,2932,Production Technician I,54.7,Production Technician I,3,"['Calibración', 'Mantenimiento', 'Trabajo en Equipo']",No disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.0,0,0
A0086,P0008,1544,Production Technician I,57.5,Production Technician I,4,"['Calibración', 'Mantenimiento', 'Capacitación']",No disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.2,0,0
A0087,P0008,1838,Production Technician I,47.0,Production Technician I,5,"['Calibración', 'Mantenimiento', 'Coaching']",Disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.2,0,0
A0088,P0008,2540,Software Engineering Manager,55.4,Otro,2,"['Logística', 'HTML', 'Presentaciones']",No disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.0,0,0
A0089,P0008,3835,IT Support,44.2,IT Support,6,"['SQL', 'Seguridad Informática', 'Adaptabilidad']",No disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.0,0,0
A0090,P0008,3006,Production Technician II,58.2,Production Technician II,2,"['Sistemas Operativos', 'Planificación', 'Capacitación']",Disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.2,0,0
A0091,P0008,2681,Area Sales Manager,59.6,Area Sales Manager,4,"['Seguridad Informática', 'Análisis de Datos', 'Análisis de Mercado']",No disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.0,0,0
A0092,P0008,3479,Area Sales Manager,49.8,Area Sales Manager,2,"['Control de Calidad', 'Calibración', 'Comunicación']",No disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.2,0,0
A0093,P0008,1071,Software Engineer,43.5,Software Engineer,5,"['Calibración', 'Logística', 'Adaptabilidad']",No disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.0,0,0
A0094,P0008,2190,Production Technician II,53.3,Production Technician II,1,"['Análisis de Datos', 'HTML', 'Trabajo en Equipo']",No disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.0,0,0
A0095,P0008,3203,Production Technician I,58.2,Production Technician I,3,"['Calibración', 'Mantenimiento', 'Liderazgo']",No disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.2,0,0
A0096,P0008,1327,Sr. Network Engineer,45.6,Sr. Network Engineer,5,"['Análisis de Datos', 'Gestión de Inventario', 'Liderazgo']",Disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.2,0,0
